Invoice_ID,Invoice_Month,Invoice_Date,Due_Date,Vendor,Invoice_Amount,Status,Payment_Date,Year,Quarter,Days_to_Pay,Outstanding_Amount,Paid_Amount
INV-10050,2024-01,2024-01-08,2024-02-22,Bopendous,56017.03,Paid,2024-04-04,2024,2024Q1,87.0,0.0,56017.03
INV-10051,2024-01,2024-01-05,2024-02-19,Chabnar,124084.95,Paid,2024-02-22,2024,2024Q1,48.0,0.0,124084.95
INV-10052,2024-01,2024-01-01,2024-01-31,Daptis,31227.85,Outstanding,,2024,2024Q1,,31227.85,0.0
INV-10053,2024-02,2024-02-08,2024-04-08,Abrippo,72000.84,Paid,2024-05-10,2024,2024Q1,92.0,0.0,72000.84
INV-10054,2024-02,2024-02-04,2024-03-05,Bopendous,75547.71,Outstanding,,2024,2024Q1,,75547.71,0.0
INV-10055,2024-02,2024-02-01,2024-04-01,Chabnar,126595.16,Paid,2024-04-22,2024,2024Q1,81.0,0.0,126595.16
INV-10056,2024-02,2024-02-08,2024-03-24,Daptis,38097.64,Paid,2024-05-06,2024,2024Q1,88.0,0.0,38097.64
INV-10057,2024-03,2024-03-08,2024-04-22,Abrippo,95874.61,Paid,2024-05-08,2024,2024Q1,61.0,0.0,95874.61
INV-10058,2024-03,2024-03-06,2024-04-05,Bopendous,66809.0,Paid,2024-05-05,2024,2024Q1,60.0,0.0,66809.0
INV-10059,2024-03,2024-03-04,2024-04-03,Chabnar,114976.0,Paid,2024-04-06,2024,2024Q1,33.0,0.0,114976.0
INV-10060,2024-03,2024-03-01,2024-04-30,Daptis,54953.4,Paid,2024-05-08,2024,2024Q1,68.0,0.0,54953.4
INV-10061,2024-04,2024-04-05,2024-05-20,Abrippo,88542.99,Paid,2024-06-19,2024,2024Q2,75.0,0.0,88542.99
INV-10062,2024-04,2024-04-08,2024-05-08,Bopendous,33309.82,Paid,2024-06-14,2024,2024Q2,67.0,0.0,33309.82
INV-10063,2024-04,2024-04-07,2024-06-06,Chabnar,117465.86,Paid,2024-07-21,2024,2024Q2,105.0,0.0,117465.86
INV-10064,2024-04,2024-04-05,2024-05-05,Daptis,58084.35,Paid,2024-05-25,2024,2024Q2,50.0,0.0,58084.35
INV-10065,2024-05,2024-05-04,2024-07-03,Abrippo,86007.43,Paid,2024-06-28,2024,2024Q2,55.0,0.0,86007.43
INV-10066,2024-05,2024-05-01,2024-05-31,Bopendous,42904.5,Paid,2024-05-31,2024,2024Q2,30.0,0.0,42904.5
INV-10067,2024-05,2024-05-02,2024-06-16,Chabnar,101305.2,Paid,2024-07-04,2024,2024Q2,63.0,0.0,101305.2
INV-10068,2024-05,2024-05-06,2024-07-05,Daptis,54039.21,Paid,2024-07-22,2024,2024Q2,77.0,0.0,54039.21
INV-10069,2024-06,2024-06-04,2024-07-04,Abrippo,81863.11,Paid,2024-06-26,2024,2024Q2,22.0,0.0,81863.11
INV-10070,2024-06,2024-06-05,2024-07-20,Bopendous,91427.07,Paid,2024-07-29,2024,2024Q2,54.0,0.0,91427.07
INV-10071,2024-06,2024-06-05,2024-08-04,Chabnar,160066.76,Outstanding,,2024,2024Q2,,160066.76,0.0
INV-10072,2024-06,2024-06-06,2024-07-06,Daptis,52263.81,Paid,2024-08-05,2024,2024Q2,60.0,0.0,52263.81
INV-10073,2024-07,2024-07-05,2024-09-03,Abrippo,72573.49,Paid,2024-09-02,2024,2024Q3,59.0,0.0,72573.49
INV-10074,2024-07,2024-07-08,2024-08-07,Bopendous,34103.34,Paid,2024-08-09,2024,2024Q3,32.0,0.0,34103.34
INV-10075,2024-07,2024-07-01,2024-08-30,Chabnar,110600.61,Paid,2024-09-15,2024,2024Q3,76.0,0.0,110600.61
INV-10076,2024-07,2024-07-04,2024-09-02,Daptis,59670.22,Paid,2024-09-10,2024,2024Q3,68.0,0.0,59670.22
INV-10077,2024-08,2024-08-07,2024-10-06,Abrippo,113708.52,Paid,2024-10-09,2024,2024Q3,63.0,0.0,113708.52
INV-10078,2024-08,2024-08-06,2024-09-05,Bopendous,53106.65,Outstanding,,2024,2024Q3,,53106.65,0.0
INV-10079,2024-08,2024-08-07,2024-09-21,Chabnar,110380.49,Outstanding,,2024,2024Q3,,110380.49,0.0
INV-10080,2024-08,2024-08-03,2024-10-02,Daptis,68566.54,Paid,2024-10-04,2024,2024Q3,62.0,0.0,68566.54
INV-10081,2024-09,2024-09-08,2024-11-07,Abrippo,115452.52,Paid,2024-12-12,2024,2024Q3,95.0,0.0,115452.52
INV-10082,2024-09,2024-09-04,2024-10-19,Bopendous,82220.98,Paid,2024-11-13,2024,2024Q3,70.0,0.0,82220.98
INV-10083,2024-09,2024-09-04,2024-11-03,Chabnar,117828.81,Paid,2024-12-04,2024,2024Q3,91.0,0.0,117828.81
INV-10084,2024-09,2024-09-08,2024-10-23,Daptis,58192.15,Outstanding,,2024,2024Q3,,58192.15,0.0
INV-10085,2024-10,2024-10-01,2024-11-15,Abrippo,115043.25,Paid,2024-12-25,2024,2024Q4,85.0,0.0,115043.25
INV-10086,2024-10,2024-10-07,2024-12-06,Bopendous,111572.98,Paid,2024-12-14,2024,2024Q4,68.0,0.0,111572.98
INV-10087,2024-10,2024-10-07,2024-11-21,Chabnar,96728.25,Paid,2024-12-27,2024,2024Q4,81.0,0.0,96728.25
INV-10088,2024-10,2024-10-02,2024-12-01,Daptis,79843.6,Paid,2024-12-27,2024,2024Q4,86.0,0.0,79843.6
INV-10089,2024-11,2024-11-04,2024-12-19,Abrippo,78289.15,Paid,2024-12-11,2024,2024Q4,37.0,0.0,78289.15
INV-10090,2024-11,2024-11-01,2024-12-01,Bopendous,45141.27,Paid,2025-01-06,2024,2024Q4,66.0,0.0,45141.27
INV-10091,2024-11,2024-11-02,2024-12-02,Chabnar,180691.88,Paid,2024-12-03,2024,2024Q4,31.0,0.0,180691.88
INV-10092,2024-11,2024-11-08,2024-12-23,Daptis,47063.59,Paid,2024-12-30,2024,2024Q4,52.0,0.0,47063.59
INV-10093,2024-12,2024-12-07,2025-01-21,Abrippo,128736.98,Paid,2025-02-27,2024,2024Q4,82.0,0.0,128736.98
INV-10094,2024-12,2024-12-05,2025-01-04,Bopendous,116618.29,Paid,2025-01-31,2024,2024Q4,57.0,0.0,116618.29
INV-10095,2024-12,2024-12-04,2025-01-18,Chabnar,151092.27,Outstanding,,2024,2024Q4,,151092.27,0.0
INV-10096,2024-12,2024-12-01,2024-12-31,Daptis,64766.45,Paid,2025-01-26,2024,2024Q4,56.0,0.0,64766.45
INV-10097,2025-01,2025-01-01,2025-02-15,Abrippo,119192.67,Paid,2025-03-27,2025,2025Q1,85.0,0.0,119192.67
INV-10098,2025-01,2025-01-08,2025-03-09,Bopendous,77996.27,Paid,2025-04-16,2025,2025Q1,98.0,0.0,77996.27
INV-10099,2025-01,2025-01-05,2025-02-19,Chabnar,157046.29,Paid,2025-02-22,2025,2025Q1,48.0,0.0,157046.29
INV-10100,2025-01,2025-01-02,2025-02-16,Daptis,59818.75,Paid,2025-03-18,2025,2025Q1,75.0,0.0,59818.75
INV-10101,2025-02,2025-02-08,2025-04-09,Abrippo,134006.53,Paid,2025-04-06,2025,2025Q1,57.0,0.0,134006.53
INV-10102,2025-02,2025-02-04,2025-03-21,Bopendous,82556.06,Paid,2025-04-05,2025,2025Q1,60.0,0.0,82556.06
INV-10103,2025-02,2025-02-02,2025-04-03,Chabnar,165462.79,Paid,2025-05-01,2025,2025Q1,88.0,0.0,165462.79
INV-10104,2025-02,2025-02-08,2025-03-10,Daptis,48494.93,Paid,2025-03-28,2025,2025Q1,48.0,0.0,48494.93
INV-10105,2025-03,2025-03-05,2025-04-04,Abrippo,141659.1,Paid,2025-05-02,2025,2025Q1,58.0,0.0,141659.1
INV-10106,2025-03,2025-03-05,2025-04-19,Bopendous,91306.97,Paid,2025-04-23,2025,2025Q1,49.0,0.0,91306.97
INV-10107,2025-03,2025-03-01,2025-04-15,Chabnar,132659.65,Paid,2025-04-24,2025,2025Q1,54.0,0.0,132659.65
INV-10108,2025-03,2025-03-02,2025-04-16,Daptis,38630.75,Paid,2025-05-31,2025,2025Q1,90.0,0.0,38630.75
INV-10109,2025-04,2025-04-02,2025-05-17,Abrippo,92982.75,Paid,2025-06-22,2025,2025Q2,81.0,0.0,92982.75
INV-10110,2025-04,2025-04-03,2025-05-03,Bopendous,88906.16,Paid,2025-05-11,2025,2025Q2,38.0,0.0,88906.16
INV-10111,2025-04,2025-04-03,2025-05-03,Chabnar,112607.51,Paid,2025-06-08,2025,2025Q2,66.0,0.0,112607.51
INV-10112,2025-04,2025-04-05,2025-05-05,Daptis,48929.21,Outstanding,,2025,2025Q2,,48929.21,0.0
INV-10113,2025-05,2025-05-08,2025-06-22,Abrippo,85842.43,Outstanding,,2025,2025Q2,,85842.43,0.0
INV-10114,2025-05,2025-05-03,2025-07-02,Bopendous,87321.86,Paid,2025-07-01,2025,2025Q2,59.0,0.0,87321.86
INV-10115,2025-05,2025-05-05,2025-07-04,Chabnar,204417.25,Paid,2025-07-20,2025,2025Q2,76.0,0.0,204417.25
INV-10116,2025-05,2025-05-01,2025-06-15,Daptis,63975.22,Paid,2025-07-21,2025,2025Q2,81.0,0.0,63975.22
INV-10117,2025-06,2025-06-04,2025-07-04,Abrippo,121537.93,Paid,2025-08-18,2025,2025Q2,75.0,0.0,121537.93
INV-10118,2025-06,2025-06-03,2025-08-02,Bopendous,100648.48,Paid,2025-09-10,2025,2025Q2,99.0,0.0,100648.48
INV-10119,2025-06,2025-06-07,2025-08-06,Chabnar,108870.93,Paid,2025-09-08,2025,2025Q2,93.0,0.0,108870.93
INV-10120,2025-06,2025-06-04,2025-07-19,Daptis,85726.55,Paid,2025-08-11,2025,2025Q2,68.0,0.0,85726.55
INV-10121,2025-07,2025-07-04,2025-09-02,Abrippo,74932.7,Paid,2025-09-04,2025,2025Q3,62.0,0.0,74932.7
INV-10122,2025-07,2025-07-04,2025-09-02,Bopendous,97217.91,Paid,2025-10-11,2025,2025Q3,99.0,0.0,97217.91
INV-10123,2025-07,2025-07-05,2025-08-04,Chabnar,180777.75,Paid,2025-08-29,2025,2025Q3,55.0,0.0,180777.75
INV-10124,2025-07,2025-07-07,2025-08-21,Daptis,84486.82,Paid,2025-09-17,2025,2025Q3,72.0,0.0,84486.82
INV-10125,2025-08,2025-08-06,2025-09-05,Abrippo,111962.24,Paid,2025-09-06,2025,2025Q3,31.0,0.0,111962.24
INV-10126,2025-08,2025-08-07,2025-09-21,Bopendous,90154.82,Paid,2025-11-01,2025,2025Q3,86.0,0.0,90154.82
INV-10127,2025-08,2025-08-05,2025-09-04,Chabnar,177889.41,Paid,2025-09-12,2025,2025Q3,38.0,0.0,177889.41
INV-10128,2025-08,2025-08-05,2025-10-04,Daptis,62054.08,Paid,2025-10-24,2025,2025Q3,80.0,0.0,62054.08
INV-10129,2025-09,2025-09-06,2025-10-06,Abrippo,128975.68,Outstanding,,2025,2025Q3,,128975.68,0.0
INV-10130,2025-09,2025-09-05,2025-11-04,Bopendous,38256.1,Paid,2025-11-27,2025,2025Q3,83.0,0.0,38256.1
INV-10131,2025-09,2025-09-04,2025-10-19,Chabnar,157414.51,Paid,2025-10-16,2025,2025Q3,42.0,0.0,157414.51
INV-10132,2025-09,2025-09-08,2025-11-07,Daptis,68270.97,Outstanding,,2025,2025Q3,,68270.97,0.0
INV-10133,2025-10,2025-10-07,2025-11-06,Abrippo,123962.47,Paid,2025-10-29,2025,2025Q4,22.0,0.0,123962.47
INV-10134,2025-10,2025-10-01,2025-10-31,Bopendous,67533.24,Paid,2025-10-26,2025,2025Q4,25.0,0.0,67533.24
INV-10135,2025-10,2025-10-05,2025-11-04,Chabnar,155305.66,Paid,2025-11-06,2025,2025Q4,32.0,0.0,155305.66
INV-10136,2025-10,2025-10-06,2025-12-05,Daptis,72690.78,Paid,2026-01-10,2025,2025Q4,96.0,0.0,72690.78
INV-10137,2025-11,2025-11-05,2025-12-20,Abrippo,124907.41,Paid,2026-01-06,2025,2025Q4,62.0,0.0,124907.41
INV-10138,2025-11,2025-11-03,2026-01-02,Bopendous,100749.68,Outstanding,,2025,2025Q4,,100749.68,0.0
INV-10139,2025-11,2025-11-05,2025-12-05,Chabnar,219726.28,Paid,2025-12-26,2025,2025Q4,51.0,0.0,219726.28
INV-10140,2025-11,2025-11-03,2025-12-03,Daptis,64027.12,Paid,2025-12-22,2025,2025Q4,49.0,0.0,64027.12
INV-10141,2025-12,2025-12-03,2026-02-01,Abrippo,118854.25,Paid,2026-03-06,2025,2025Q4,93.0,0.0,118854.25
INV-10142,2025-12,2025-12-03,2026-01-02,Bopendous,96674.27,Outstanding,,2025,2025Q4,,96674.27,0.0
INV-10143,2025-12,2025-12-06,2026-02-04,Chabnar,93877.51,Paid,2026-02-07,2025,2025Q4,63.0,0.0,93877.51
INV-10144,2025-12,2025-12-04,2026-01-18,Daptis,48492.78,Paid,2026-01-11,2025,2025Q4,38.0,0.0,48492.78
INV-10145,2026-01,2026-01-07,2026-03-08,Abrippo,64202.63,Paid,2026-03-16,2026,2026Q1,68.0,0.0,64202.63
INV-10146,2026-01,2026-01-06,2026-03-07,Bopendous,95944.51,Outstanding,,2026,2026Q1,,95944.51,0.0
INV-10147,2026-01,2026-01-06,2026-02-05,Chabnar,189400.25,Paid,2026-02-09,2026,2026Q1,34.0,0.0,189400.25
INV-10148,2026-01,2026-01-08,2026-02-07,Daptis,86984.67,Paid,2026-02-09,2026,2026Q1,32.0,0.0,86984.67
INV-10149,2026-02,2026-02-07,2026-04-08,Abrippo,144097.64,Paid,2026-05-09,2026,2026Q1,91.0,0.0,144097.64
INV-10150,2026-02,2026-02-08,2026-03-10,Bopendous,88838.04,Paid,2026-03-27,2026,2026Q1,47.0,0.0,88838.04
INV-10151,2026-02,2026-02-03,2026-04-04,Chabnar,189724.47,Paid,2026-05-18,2026,2026Q1,104.0,0.0,189724.47
INV-10152,2026-02,2026-02-01,2026-03-18,Daptis,77708.58,Outstanding,,2026,2026Q1,,77708.58,0.0
INV-10153,2026-03,2026-03-02,2026-04-01,Abrippo,120995.22,Paid,2026-04-01,2026,2026Q1,30.0,0.0,120995.22
INV-10154,2026-03,2026-03-07,2026-04-21,Bopendous,77539.64,Outstanding,,2026,2026Q1,,77539.64,0.0
INV-10155,2026-03,2026-03-06,2026-04-05,Chabnar,167851.39,Paid,2026-04-02,2026,2026Q1,27.0,0.0,167851.39
INV-10156,2026-03,2026-03-01,2026-04-15,Daptis,55210.53,Paid,2026-04-29,2026,2026Q1,59.0,0.0,55210.53
INV-10157,2026-04,2026-04-01,2026-05-31,Abrippo,147999.27,Paid,2026-07-01,2026,2026Q2,91.0,0.0,147999.27
INV-10158,2026-04,2026-04-03,2026-06-02,Bopendous,107090.23,Outstanding,,2026,2026Q2,,107090.23,0.0
INV-10159,2026-04,2026-04-05,2026-05-20,Chabnar,99911.96,Paid,2026-06-07,2026,2026Q2,63.0,0.0,99911.96
INV-10160,2026-04,2026-04-03,2026-05-03,Daptis,64416.09,Outstanding,,2026,2026Q2,,64416.09,0.0
INV-10161,2026-05,2026-05-04,2026-06-18,Abrippo,127851.8,Paid,2026-07-13,2026,2026Q2,70.0,0.0,127851.8
INV-10162,2026-05,2026-05-01,2026-06-15,Bopendous,89314.83,Paid,2026-06-13,2026,2026Q2,43.0,0.0,89314.83
INV-10163,2026-05,2026-05-03,2026-06-02,Chabnar,171531.26,Paid,2026-07-04,2026,2026Q2,62.0,0.0,171531.26
INV-10164,2026-05,2026-05-07,2026-06-21,Daptis,68542.2,Paid,2026-07-03,2026,2026Q2,57.0,0.0,68542.2
INV-10165,2026-06,2026-06-03,2026-08-02,Abrippo,154847.42,Paid,2026-08-20,2026,2026Q2,78.0,0.0,154847.42
INV-10166,2026-06,2026-06-01,2026-07-01,Bopendous,75769.55,Paid,2026-07-25,2026,2026Q2,54.0,0.0,75769.55
INV-10167,2026-06,2026-06-06,2026-08-05,Chabnar,108811.8,Paid,2026-08-25,2026,2026Q2,80.0,0.0,108811.8
INV-10168,2026-06,2026-06-04,2026-07-19,Daptis,56164.56,Paid,2026-08-28,2026,2026Q2,85.0,0.0,56164.56
INV-10169,2026-07,2026-07-05,2026-08-04,Abrippo,102833.03,Paid,2026-08-07,2026,2026Q3,33.0,0.0,102833.03
INV-10170,2026-07,2026-07-02,2026-08-01,Bopendous,74667.92,Paid,2026-07-31,2026,2026Q3,29.0,0.0,74667.92
INV-10171,2026-07,2026-07-08,2026-08-22,Chabnar,124880.01,Paid,2026-08-14,2026,2026Q3,37.0,0.0,124880.01
INV-10172,2026-07,2026-07-08,2026-09-06,Daptis,84623.27,Outstanding,,2026,2026Q3,,84623.27,0.0
INV-10173,2026-08,2026-08-06,2026-10-05,Abrippo,33870.27,Outstanding,,2026,2026Q3,,33870.27,0.0
INV-10174,2026-08,2026-08-03,2026-09-17,Bopendous,63079.18,Paid,2026-10-16,2026,2026Q3,74.0,0.0,63079.18
INV-10175,2026-08,2026-08-07,2026-10-06,Chabnar,188064.84,Paid,2026-10-26,2026,2026Q3,80.0,0.0,188064.84
INV-10176,2026-08,2026-08-07,2026-09-21,Daptis,41733.81,Paid,2026-10-24,2026,2026Q3,78.0,0.0,41733.81
INV-10177,2026-09,2026-09-08,2026-11-07,Abrippo,111489.62,Paid,2026-12-04,2026,2026Q3,87.0,0.0,111489.62
INV-10178,2026-09,2026-09-02,2026-10-17,Bopendous,82651.8,Paid,2026-10-16,2026,2026Q3,44.0,0.0,82651.8
INV-10179,2026-09,2026-09-06,2026-10-21,Chabnar,129708.19,Paid,2026-11-04,2026,2026Q3,59.0,0.0,129708.19
INV-10180,2026-09,2026-09-08,2026-10-08,Daptis,38659.02,Outstanding,,2026,2026Q3,,38659.02,0.0
INV-10181,2026-10,2026-10-04,2026-11-03,Abrippo,101019.42,Paid,2026-11-10,2026,2026Q4,37.0,0.0,101019.42
INV-10182,2026-10,2026-10-05,2026-11-19,Bopendous,87198.22,Outstanding,,2026,2026Q4,,87198.22,0.0
INV-10183,2026-10,2026-10-05,2026-11-04,Chabnar,165187.3,Paid,2026-10-31,2026,2026Q4,26.0,0.0,165187.3
INV-10184,2026-10,2026-10-03,2026-12-02,Daptis,71440.94,Paid,2026-12-03,2026,2026Q4,61.0,0.0,71440.94
INV-10185,2026-11,2026-11-07,2026-12-07,Abrippo,100256.05,Outstanding,,2026,2026Q4,,100256.05,0.0
INV-10186,2026-11,2026-11-01,2026-12-31,Bopendous,71781.94,Paid,2027-01-27,2026,2026Q4,87.0,0.0,71781.94
INV-10187,2026-11,2026-11-03,2027-01-02,Chabnar,132941.09,Paid,2027-01-11,2026,2026Q4,69.0,0.0,132941.09
INV-10188,2026-11,2026-11-04,2027-01-03,Daptis,58340.13,Paid,2027-01-30,2026,2026Q4,87.0,0.0,58340.13
INV-10189,2026-12,2026-12-05,2027-01-04,Abrippo,89075.41,Paid,2027-01-20,2026,2026Q4,46.0,0.0,89075.41
INV-10190,2026-12,2026-12-07,2027-02-05,Bopendous,57716.18,Paid,2027-02-03,2026,2026Q4,58.0,0.0,57716.18
INV-10191,2026-12,2026-12-04,2027-01-18,Chabnar,167691.39,Paid,2027-02-14,2026,2026Q4,72.0,0.0,167691.39
INV-10192,2026-12,2026-12-08,2027-01-07,Daptis,52501.49,Outstanding,,2026,2026Q4,,52501.49,0.0
INV-10193,2027-01,2027-01-04,2027-03-05,Abrippo,104676.78,Paid,2027-03-24,2027,2027Q1,79.0,0.0,104676.78
INV-10194,2027-01,2027-01-04,2027-02-03,Bopendous,95166.1,Paid,2027-02-07,2027,2027Q1,34.0,0.0,95166.1
INV-10195,2027-01,2027-01-02,2027-03-03,Chabnar,163882.58,Paid,2027-03-23,2027,2027Q1,80.0,0.0,163882.58
INV-10196,2027-01,2027-01-06,2027-02-05,Daptis,42993.22,Paid,2027-01-31,2027,2027Q1,25.0,0.0,42993.22
INV-10197,2027-02,2027-02-08,2027-04-09,Abrippo,113678.61,Paid,2027-04-27,2027,2027Q1,78.0,0.0,113678.61
INV-10198,2027-02,2027-02-03,2027-03-05,Bopendous,54456.6,Paid,2027-02-28,2027,2027Q1,25.0,0.0,54456.6
INV-10199,2027-02,2027-02-08,2027-03-10,Chabnar,115457.19,Paid,2027-03-24,2027,2027Q1,44.0,0.0,115457.19
INV-10200,2027-02,2027-02-05,2027-03-22,Daptis,43388.75,Outstanding,,2027,2027Q1,,43388.75,0.0
INV-10201,2027-03,2027-03-02,2027-04-16,Abrippo,52466.38,Paid,2027-04-25,2027,2027Q1,54.0,0.0,52466.38
INV-10202,2027-03,2027-03-03,2027-04-17,Bopendous,71267.16,Paid,2027-04-22,2027,2027Q1,50.0,0.0,71267.16
INV-10203,2027-03,2027-03-08,2027-05-07,Chabnar,125018.73,Paid,2027-06-10,2027,2027Q1,94.0,0.0,125018.73
INV-10204,2027-03,2027-03-08,2027-04-22,Daptis,53011.33,Outstanding,,2027,2027Q1,,53011.33,0.0
